id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,status_kawin,jumlah_penduduk,satuan,semester,tahun
147,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,CERAI MATI,4287,ORANG,2,2017
148,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,KAWIN,63408,ORANG,2,2017
149,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,BELUM KAWIN,13680,ORANG,2,2017
150,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,CERAI HIDUP,630,ORANG,2,2017
151,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,CERAI MATI,1467,ORANG,2,2017
152,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,KAWIN,13997,ORANG,2,2017
153,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,BELUM KAWIN,53898,ORANG,2,2017
154,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,CERAI HIDUP,1846,ORANG,2,2017
155,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,CERAI MATI,5187,ORANG,2,2017
156,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,KAWIN,56584,ORANG,2,2017
157,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,BELUM KAWIN,56907,ORANG,2,2017
158,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,CERAI HIDUP,1529,ORANG,2,2017
159,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,CERAI MATI,4426,ORANG,2,2017
160,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,KAWIN,57989,ORANG,2,2017
161,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,BELUM KAWIN,39491,ORANG,2,2017
162,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,CERAI HIDUP,1095,ORANG,2,2017
163,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,CERAI MATI,3080,ORANG,2,2017
164,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,KAWIN,40413,ORANG,2,2017
165,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,BELUM KAWIN,44985,ORANG,2,2017
166,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,CERAI HIDUP,1297,ORANG,2,2017
167,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,CERAI MATI,3417,ORANG,2,2017
168,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,KAWIN,48158,ORANG,2,2017
169,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,BELUM KAWIN,31542,ORANG,2,2017
170,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,CERAI HIDUP,1008,ORANG,2,2017
171,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,CERAI MATI,2795,ORANG,2,2017
172,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,KAWIN,32971,ORANG,2,2017
173,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,BELUM KAWIN,50405,ORANG,2,2017
174,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,CERAI HIDUP,1626,ORANG,2,2017
